Mois,Jour,Thème,Référence (abrégée),Référence (nom complet)
Jolay,28,Manaiky ho iraka ny mpino,Mat 9.35-38,Matio 9.35-38
Jolay,29,Manaiky ho iraka ny mpino,Eze 2.1-10,Ezekiela 2.1-10
Jolay,30,Manaiky ho iraka ny mpino,2 Tim 4.1-8,2 Timoty 4.1-8
Jolay,31,Manaiky ho iraka ny mpino,Asa 28.16-29,Asan'ny Apostoly 28.16-29
Aogositra,1,Mahatoky amin'ny asany ny mpino,Sal 1.1-2,Salamo 1.1-2
Aogositra,2,Mahatoky amin'ny asany ny mpino,Mat 24.45-51,Matio 24.45-51
Aogositra,3,Mahatoky amin'ny asany ny mpino,1 Tim 1.12-16,1 Timoty 1.12-16
Aogositra,4,Mahatoky amin'ny asany ny mpino,Oha 13.13-20,Ohabolana 13.13-20
Aogositra,5,Mahatoky amin'ny asany ny mpino,1 Sam 2.35-36,1 Samoela 2.35-36
Aogositra,6,Mahatoky amin'ny asany ny mpino,1 Kor 9.13-23,1 Korintiana 9.13-23
Aogositra,7,Mahatoky amin'ny asany ny mpino,Asa 10.1-8,Asan'ny Apostoly 10.1-8
Aogositra,8,Mahatoky amin'ny asany ny mpino,Jao 2.1-12,Jaona 2.1-12
Aogositra,9,Mahatoky amin'ny asany ny mpino,Lio 11.47-51,Lioka 11.47-51
Aogositra,10,Mahatoky amin'ny asany ny mpino,Kol 3.22-25,Kolosiana 3.22-25
Aogositra,11,Mahatoky amin'ny asany ny mpino,Gen 22.1-13,Genesisy 22.1-13
Aogositra,12,Mahatoky amin'ny asany ny mpino,1 Kor 10.1-12,1 Korintiana 10.1-12
Aogositra,13,Mahatoky amin'ny asany ny mpino,Mat 21.23-32,Matio 21.23-32
Aogositra,14,Mahatoky amin'ny asany ny mpino,Oha 12.17-28,Ohabolana 12.17-28
Aogositra,15,Mahatoky amin'ny asany ny mpino,Fil 2.12-18,Filipiana 2.12-18
Aogositra,16,Mahatoky amin'ny asany ny mpino,Efe 2.8-10,Efesiana 2.8-10
Aogositra,17,Mahatoky amin'ny asany ny mpino,2 Kor 1.17-24,2 Korintiana 1.17-24
Aogositra,18,Mahatoky amin'ny asany ny mpino,Deo 26.5-11,Deoteronomia 26.5-11
Aogositra,19,Mahatoky amin'ny asany ny mpino,Sal 101.1-8,Salamo 101.1-8
Aogositra,20,Mahatoky amin'ny asany ny mpino,Jao 17.20-25,Jaona 17.20-25
Aogositra,21,Mahatoky amin'ny asany ny mpino,Mat 25.14-30,Matio 25.14-30
Aogositra,22,Mahatoky amin'ny asany ny mpino,Joda 17-23,Joda 17-23
Aogositra,23,Mahatoky amin'ny asany ny mpino,Jao 17.1-5,Jaona 17.1-5
Aogositra,24,Mahatoky amin'ny asany ny mpino,1 Mpa 2.1-4,1 Mpanjaka 2.1-4
Aogositra,25,Mahatoky amin'ny asany ny mpino,Neh 7.1-3,Nehemia 7.1-3
Aogositra,26,Mahatoky amin'ny asany ny mpino,3 Jao 1-8,3 Jaona 1-8
Aogositra,27,Mahatoky amin'ny asany ny mpino,Eks 31.1-11,Eksodosy 31.1-11
Aogositra,28,Mahatoky amin'ny asany ny mpino,2 Tim 2.1-7,2 Timoty 2.1-7
Aogositra,29,Mahatoky amin'ny asany ny mpino,Lio 17.1-10,Lioka 17.1-10
Aogositra,30,Mahatoky amin'ny asany ny mpino,Oha 14.26-31,Ohabolana 14.26-31
Aogositra,31,Mahatoky amin'ny asany ny mpino,Lio 16.9-13,Lioka 16.9-13
Septambra,1,Meteza hiasa amin'ny finoana,1 Kor 3.1-9,1 Korintiana 3.1-9
Septambra,2,Meteza hiasa amin'ny finoana,Gen 6.9-22,Genesisy 6.9-22
Septambra,3,Meteza hiasa amin'ny finoana,Jao 11.25-37,Jaona 11.25-37
Septambra,4,Meteza hiasa amin'ny finoana,2 Kor 4.7-18,2 Korintiana 4.7-18
Septambra,5,Meteza hiasa amin'ny finoana,Sal 127.1-5,Salamo 127.1-5
Septambra,6,Meteza hiasa amin'ny finoana,Heb 11.1-13,Hebreo 11.1-13
Septambra,7,Meteza hiasa amin'ny finoana,Mar 11.20-25,Marka 11.20-25
Septambra,8,Meteza hiasa amin'ny finoana,1 Tim 4.1-10,1 Timoty 4.1-10
Septambra,9,Meteza hiasa amin'ny finoana,1 Sam 17.45-47,1 Samoela 17.45-47
Septambra,10,Meteza hiasa amin'ny finoana,File 1-7,Filemona 1-7
Septambra,11,Meteza hiasa amin'ny finoana,Jao 6.28-40,Jaona 6.28-40
Septambra,12,Meteza hiasa amin'ny finoana,2 Tim 2.1-11,2 Timoty 2.1-11
Septambra,13,Meteza hiasa amin'ny finoana,Lio 7.1-10,Lioka 7.1-10
Septambra,14,Meteza hiasa amin'ny finoana,Oha 16.1-7,Ohabolana 16.1-7
Septambra,15,Meteza hiasa amin'ny finoana,Rom 1.16-17,Romana 1.16-17
Septambra,16,Meteza hiasa amin'ny finoana,Mat 8.23-27,Matio 8.23-27
Septambra,17,Meteza hiasa amin'ny finoana,Jak 5.7-11,Jakoba 5.7-11
Septambra,18,Meteza hiasa amin'ny finoana,Gen 2.8-15,Genesisy 2.8-15
Septambra,19,Meteza hiasa amin'ny finoana,Jao 9.1-12,Jaona 9.1-12
Septambra,20,Meteza hiasa amin'ny finoana,Hos 10.9-12,Hosea 10.9-12
Septambra,21,Meteza hiasa amin'ny finoana,Asa 3.1-10,Asan'ny Apostoly 3.1-10
Septambra,22,Meteza hiasa amin'ny finoana,Sal 37.1-11,Salamo 37.1-11
Septambra,23,Meteza hiasa amin'ny finoana,2 Kor 9.10-15,2 Korintiana 9.10-15
Septambra,24,Meteza hiasa amin'ny finoana,Hag 2.1-9,Hagay 2.1-9
Septambra,25,Meteza hiasa amin'ny finoana,2 Tes 3.6-13,2 Tesaloniana 3.6-13
Septambra,26,Meteza hiasa amin'ny finoana,1 Kor 9.24-27,1 Korintiana 9.24-27
Septambra,27,Meteza hiasa amin'ny finoana,Jak 2.14-26,Jakoba 2.14-26
Septambra,28,Meteza hiasa amin'ny finoana,1 Mpa 3.4-15,1 Mpanjaka 3.4-15
Septambra,29,Meteza hiasa amin'ny finoana,Jao 14.12-14,Jaona 14.12-14
Septambra,30,Meteza hiasa amin'ny finoana,Hab 3.17-19,Habakoka 3.17-19
Oktobra,1,Mivavaha mandrakariva,Efe 6.10-18,Efesiana 6.10-18
Oktobra,2,Mivavaha mandrakariva,Mar 13.32-37,Marka 13.32-37
Oktobra,3,Mivavaha mandrakariva,Jak 5.13-18,Jakoba 5.13-18
Oktobra,4,Mivavaha mandrakariva,Lio 18.1-8,Lioka 18.1-8
Oktobra,5,Mivavaha mandrakariva,Mat 6.5-14,Matio 6.5-14
Oktobra,6,Mivavaha mandrakariva,Dan 6.5-14,Daniela 6.5-14
Oktobra,7,Mivavaha mandrakariva,Heb 10.19-25,Hebreo 10.19-25
Oktobra,8,Mivavaha mandrakariva,Lio 11.1-13,Lioka 11.1-13
Oktobra,9,Mivavaha mandrakariva,1 Tes 5.16-25,1 Tesaloniana 5.16-25
Oktobra,10,Mivavaha mandrakariva,Sal 138.1-8,Salamo 138.1-8
Oktobra,11,Mivavaha mandrakariva,Jer 29.10-15,Jeremia 29.10-15
Oktobra,12,Mivavaha mandrakariva,Lio 21.34-38,Lioka 21.34-38
Oktobra,13,Mivavaha mandrakariva,Mat 26.36-46,Matio 26.36-46
Oktobra,14,Mivavaha mandrakariva,1 Kor 14.13-25,1 Korintiana 14.13-25
Oktobra,15,Mivavaha mandrakariva,Mat 6.5-8,Matio 6.5-8
Oktobra,16,Mivavaha mandrakariva,Heb 13.18-19,Hebreo 13.18-19
Oktobra,17,Mivavaha mandrakariva,Sal 23.1-6,Salamo 23.1-6
Oktobra,18,Mivavaha mandrakariva,Jao 17.20-26,Jaona 17.20-26
Oktobra,19,Mivavaha mandrakariva,Lio 2.25-32,Lioka 2.25-32
Oktobra,20,Mivavaha mandrakariva,Joda 17-23,Joda 17-23
Oktobra,21,Mivavaha mandrakariva,Mat 24.20-28,Matio 24.20-28
Oktobra,22,Mivavaha mandrakariva,Rom 1.8-17,Romana 1.8-17
Oktobra,23,Mivavaha mandrakariva,Deo 26.5-11,Deoteronomia 26.5-11
Oktobra,24,Mivavaha mandrakariva,Asa 4.23-31,Asan'ny Apostoly 4.23-31
Oktobra,25,Mivavaha mandrakariva,2 Mpa 23.1-3,2 Mpanjaka 23.1-3
Oktobra,26,Mivavaha mandrakariva,Jak 5.13-20,Jakoba 5.13-20
Oktobra,27,Mivavaha mandrakariva,Lio 22.39-46,Lioka 22.39-46
Oktobra,28,Mivavaha mandrakariva,Sal 73.21-28,Salamo 73.21-28
Oktobra,29,Mivavaha mandrakariva,Mat 5.43-48,Matio 5.43-48
Oktobra,30,Mivavaha mandrakariva,Apo 19.5-10,Apokalypsy 19.5-10
Oktobra,31,Mivavaha mandrakariva,Mar 14.32-42,Marka 14.32-42
Novambra,1,Miomana amin'ny fiavian'ny Tompo,Gen 6.9-22,Genesisy 6.9-22
Novambra,2,Miomana amin'ny fiavian'ny Tompo,Rom 12.14-21,Romana 12.14-21
Novambra,3,Miomana amin'ny fiavian'ny Tompo,Mat 24.1-14,Matio 24.1-14
Novambra,4,Miomana amin'ny fiavian'ny Tompo,Amo 4.12-13,Amosa 4.12-13
Novambra,5,Miomana amin'ny fiavian'ny Tompo,Mat 24.36-44,Matio 24.36-44
Novambra,6,Miomana amin'ny fiavian'ny Tompo,Heb 10.32-39,Hebreo 10.32-39
Novambra,7,Miomana amin'ny fiavian'ny Tompo,Isa 40.27-31,Isaia 40.27-31
Novambra,8,Miomana amin'ny fiavian'ny Tompo,Mar 13.24-32,Marka 13.24-32
Novambra,9,Miomana amin'ny fiavian'ny Tompo,Apo 3.1-6,Apokalypsy 3.1-6
Novambra,10,Miomana amin'ny fiavian'ny Tompo,Lio 10.8-16,Lioka 10.8-16
Novambra,11,Miomana amin'ny fiavian'ny Tompo,Sal 90.1-12,Salamo 90.1-12
Novambra,12,Miomana amin'ny fiavian'ny Tompo,Mat 10.28-33,Matio 10.28-33
Novambra,13,Miomana amin'ny fiavian'ny Tompo,2 Pet 3.1-10,2 Petera 3.1-10
Novambra,14,Miomana amin'ny fiavian'ny Tompo,Lio 21.25-28,Lioka 21.25-28
Novambra,15,Miomana amin'ny fiavian'ny Tompo,2 Tim 3.10-17,2 Timoty 3.10-17
Novambra,16,Miomana amin'ny fiavian'ny Tompo,Isa 21.1-6,Isaia 21.1-6
Novambra,17,Miomana amin'ny fiavian'ny Tompo,Efe 6.14-20,Efesiana 6.14-20
Novambra,18,Miomana amin'ny fiavian'ny Tompo,Sal 32.8-11,Salamo 32.8-11
Novambra,19,Miomana amin'ny fiavian'ny Tompo,Mat 25.1-13,Matio 25.1-13
Novambra,20,Miomana amin'ny fiavian'ny Tompo,Asa 20.25-31,Asan'ny Apostoly 20.25-31
Novambra,21,Miomana amin'ny fiavian'ny Tompo,Mar 13.33-37,Marka 13.33-37
Novambra,22,Miomana amin'ny fiavian'ny Tompo,Eze 38.1-7,Ezekiela 38.1-7
Novambra,23,Miomana amin'ny fiavian'ny Tompo,Kol 4.2-6,Kolosiana 4.2-6
Novambra,24,Miomana amin'ny fiavian'ny Tompo,Mat 25.31-46,Matio 25.31-46
Novambra,25,Miomana amin'ny fiavian'ny Tompo,1 Mpa 5.9-14,1 Mpanjaka 5.9-14
Novambra,26,Miomana amin'ny fiavian'ny Tompo,1 Tes 5.1-11,1 Tesaloniana 5.1-11
Novambra,27,Miomana amin'ny fiavian'ny Tompo,Lio 21.34-36,Lioka 21.34-36
Novambra,28,Miomana amin'ny fiavian'ny Tompo,Mal 3.19-24,Malakia 3.19-24
Novambra,29,Miomana amin'ny fiavian'ny Tompo,Lio 13.22-30,Lioka 13.22-30
Novambra,30,Miomana amin'ny fiavian'ny Tompo,Sal 42.1-5,Salamo 42.1-5
Desambra,1,Iaino ny fiadanan'ny Tompo,Asa 10.34-38,Asan'ny Apostoly 10.34-38
Desambra,2,Iaino ny fiadanan'ny Tompo,Mal 2.5-6,Malakia 2.5-6
Desambra,3,Iaino ny fiadanan'ny Tompo,Lio 1.46-56,Lioka 1.46-56
Desambra,4,Iaino ny fiadanan'ny Tompo,Jao 14.27-30,Jaona 14.27-30
Desambra,5,Iaino ny fiadanan'ny Tompo,Fil 1.1-8,Filipiana 1.1-8
Desambra,6,Iaino ny fiadanan'ny Tompo,Lev 26.3-12,Levitikosy 26.3-12
Desambra,7,Iaino ny fiadanan'ny Tompo,Efe 6.23-24,Efesiana 6.23-24
Desambra,8,Iaino ny fiadanan'ny Tompo,Mat 6.25-30,Matio 6.25-30
Desambra,9,Iaino ny fiadanan'ny Tompo,Zak 8.16-17,Zakaria 8.16-17
Desambra,10,Iaino ny fiadanan'ny Tompo,Efe 1.1-6,Efesiana 1.1-6
Desambra,11,Iaino ny fiadanan'ny Tompo,1 Tes 5.23-24,1 Tesaloniana 5.23-24
Desambra,12,Iaino ny fiadanan'ny Tompo,Mat 10.11-13,Matio 10.11-13
Desambra,13,Iaino ny fiadanan'ny Tompo,Fil 4.4-7,Filipiana 4.4-7
Desambra,14,Iaino ny fiadanan'ny Tompo,Lio 1.67-80,Lioka 1.67-80
Desambra,15,Iaino ny fiadanan'ny Tompo,Oha 3.1-6,Ohabolana 3.1-6
Desambra,16,Iaino ny fiadanan'ny Tompo,Sal 33.12-22,Salamo 33.12-22
Desambra,17,Iaino ny fiadanan'ny Tompo,Jer 31.31-34,Jeremia 31.31-34
Desambra,18,Iaino ny fiadanan'ny Tompo,Mar 6.47-52,Marka 6.47-52
Desambra,19,Iaino ny fiadanan'ny Tompo,Isa 55.6-13,Isaia 55.6-13
Desambra,20,Iaino ny fiadanan'ny Tompo,Isa 7.10-16,Isaia 7.10-16
Desambra,21,Iaino ny fiadanan'ny Tompo,Rom 14.13-18,Romana 14.13-18
Desambra,22,Iaino ny fiadanan'ny Tompo,Nom 22.22-26,Nomery 22.22-26
Desambra,23,Iaino ny fiadanan'ny Tompo,Jao 16.31-33,Jaona 16.31-33
Desambra,24,Iaino ny fiadanan'ny Tompo,Jao 12.44-50,Jaona 12.44-50
Desambra,25,Iaino ny fiadanan'ny Tompo,Lio 2.1-7,Lioka 2.1-7
Desambra,26,Iaino ny fiadanan'ny Tompo,Sal 122.1-9,Salamo 122.1-9
Desambra,27,Iaino ny fiadanan'ny Tompo,Mpits 6.19-24,Mpitsara 6.19-24
Desambra,28,Iaino ny fiadanan'ny Tompo,Rom 15.10-13,Romana 15.10-13
Desambra,29,Iaino ny fiadanan'ny Tompo,2 Tan 14.1-8,2 Tantara 14.1-8
Desambra,30,Iaino ny fiadanan'ny Tompo,Lio 10.1-7,Lioka 10.1-7
Desambra,31,Iaino ny fiadanan'ny Tompo,2 Tes 3.16-18,2 Tesaloniana 3.16-18
