livre,chapitre,verset,similarite,notre_texte,texte_github
mg_10,19,43,0.54,Ary ny lehilahy rehetra amin'ny Joda dia namaly ny lehilahy amin'ny Isiraely hoe: Satria havanay akaiky ny mpanjaka; ka ahoana no mahatezitra anareo amin'izany? Nandany ny mpanjaka va izahay? Na nanome zavatra anay akory va izy?,"Ary ny lehilahy rehetra amin'ny Joda dia namaly ny lehilahy amin'ny Isiraely hoe: Satria havanay akaiky ny mpanjaka; ka ahoana no mahatezitra anareo amin'izany? Nadany ny mpanjaka va izahay? Na nanome zavatra anay akory va izy?Ary ny lehilahy amin'ny Isiraely kosa namaly ny lehilahy amin'ny Joda hoe: Izahay manana anjaram-polo amin'ny mpanjaka; eny, izahay manana an'i Davida mihoatra noho ianareo; koa ahoana ianareo no nanao tsinontsinona anay? Tsy izahay va no niteny talohanareo nampody ny mpanjakanay? Ary ny tenin'ny lehilahy amin'ny Joda dia lozaloza kokoa noho ny tenin'ny lehilahy amin'ny Isiraely."
mg_10,20,26,0.93,ary Ira Jairita kosa no mpanolo-tsaina* an'i Davida. [*Na: mpisorona],ary Ira Jairita kosa no mpanolo-tsaina an'i Davida.<n>[Na: mpisorona]</n>
mg_10,21,8,0.92,"Ary ny mpanjaka naka azy roa lahy, zanak'i Rizpa, zanakavavin'i Aia, izay naterany tamin'i Saoly, dia Armony sy Mefiboseta, ary ny dimy lahy zanak'i Mikala,* zanakavavin'i Saoly, izay naterany tamin'i Adriela, zanak'i Barzilay Meholatita, [*Na: (Meraba) izahao I Samoela 18:19]","Ary ny mpanjaka naka azy roa lahy, zanak'i Rizpa, zanakavavin'i Aia, izay naterany tamin'i Saoly, dia Armony sy Mefiboseta, ary ny dimy lahy zanak'i Mikala, zanakavavin'i Saoly, izay naterany tamin'i Adriela, zanak'i Barzilay Meholatita,<n>[Na: (Meraba); izahao 1 Sam.xviii.19]</n>"
mg_10,21,19,0.95,"Ary nisy ady indray koa tamin'ny Filistina teo Goba, ary Elanana, zanak'i Jare-oregima Betlehemita, namono an'i Goliata Gatita*, izay nanan-jaran-defona tahaka ny vodi-tenon'ny mpanenona. [*Na: ny rahalahin'i Goliata; izahao I Tantara 20:5]","Ary nisy ady indray koa tamin'ny Filistina teo Goba, ary Elanana, zanak'i Jare-oregima Betlehemita, namono an'i Goliata Gatita, izay nanan-jaran-defona tahaka ny vodi-tenon'ny mpanenona.<n>[Na: ny rahalahin'i Goliata; izahao 1 Tan. xx.5]</n>"
mg_10,22,6,0.92,"Ny famatoran'ny fiainan-tsy hita* nihodidina tamiko, nisakana ahy ny fandriky ny fahafatesana. [*Hebreo: Sheola]","Ny famatoran'ny fiainan-tsi-hita nihodidina tamiko, nisakana ahy ny fandriky ny fahafatesana.<n>[Heb. Sheola]</n>"
mg_10,22,27,0.93,Ny madio no isehoanao fa madio; Ary ny mpiolakolaka kosa no isehoanao fa lalin-tsaina*. [*Hebreo: miolakolaka],Ny madio no isehoanao fa madio; Ary ny mpiolakolaka kosa no isehoanao fa lalin-tsaina.<n>[Heb. miolakolaka]</n>
mg_10,22,46,0.93,"Ny hafa firenena dia mihaketraka ka miala amin-kovitra avy ao* amin'ny fiarovany mafy. [*Izahao Salamo 18:46. Ny dikan'ny teny Hebreo eto dia misikina avy ao, etc]","Ny hafa firenena dia mihaketraka ka miala amin-kovitra avy ao amin'ny fiarovany mafy.<n>[Izahao Sal. xviii.46. Ny dikan'ny teny Hebreo eto dia misikina avy ao, etc]</n>"
mg_10,24,24,0.71,"Ary hoy ny mpanjaka tamin'i Araona: Tsia, fa hovidiko aminao mihitsy araka izay tokom-bidiny ireo; fa tsy hanatitra fanatitra dorana ho an'i Jehovah Andriamanitro amin'izay azoko fotsiny aho. Ka dia novidin'i Davida sekely volafotsy dimam-polo ny famoloana sy ny omby.","Ary hoy ny mpanjaka tamin'i Araona: Tsia, fa hovidiko aminao mihitsy araka izay tokom-bidiny ireo; fa tsy hanatitra fanatitra dora na ho an'i Jehovah Andriamanitro amin'izay azoko fotsiny aho. Ka dia novidin'i Davida sekely volafotsy dimam-polo ny famoloana sy ny omby.Ary Davida nanao alitara teo ho an'i Jehovah ka nanatitra fanatitra dorana sy fanati-pihavanana. Ka dia neken'i Jehovah ny fifonana natao ho an'ny tany, ka nitsahatra tsy namely ny Isiraely intsony ilay areti-mandringana."
mg_11,2,6,0.94,"Koa manaova araka ny fahendrenao, ary aza avela hidina any amin'ny fiainan-tsy hita* amin'ny fiadanana ny volo fotsiny. [*Hebreo: Sheola]","Koa manaova araka ny fahendrenao, ary aza avela hidina any amin'ny fiainan-tsi-hita amin'ny fiadanana ny volo fotsiny.<n>[Heb: Sheola]</n>"
mg_11,2,9,0.94,"Koa aza ataonao afa-tsiny izy; fa lehilahy hendry ianao, ka fantatrao izay tokony hanaovanao azy, ka amin'ny fandatsahan-drà no hampidinanao ny volo fotsiny ho any amin'ny fiainan-tsy hita*. [*Hebreo: Sheola]","Koa aza ataonao afa-tsiny izy; fa lehilahy hendry ianao, ka fantatrao izay tokony hanaovanao azy, ka amin'ny fandatsahan-drà no hampidinanao ny volo fotsiny ho any amin'ny fiainan-tsi-hita.<n>[Heb. Sheola]</n>"
mg_11,4,13,0.93,"Beni-gabera tao Ramota-gileada; ny tanàna madinika an'i Jaàra*, zanak'i Manase, izay any Gileada, no azy; azy koa ny tany Argoba, izay any Basana, dia tanana enim-polo lehibe nisy manda sy hidy varahina; [*Havota-jaàra; izahao Nomery 32:41]","Beni-gabera tao Ramota-gileada; ny tanàna madinika an'i Jaïra, zanak'i Manase, izay any Gileada, no azy; azy koa ny tany Argoba, izay any Basana, dia tanana enim-polo lehibe nisy manda sy hidy varahina; <n>[Havota-jaïra; izahao Nom. xxxii. 41]</n>"
mg_11,5,4,0.94,"Fa nanapaka ny tany rehetra aty* an-dafin'ny Ony** hatrany Tifsa ka hatrany Gaza izy, dia tamin'ny mpanjaka rehetra ety* an-dafin'ny Ony; ary izy dia tsara fihavanana tamin'ireny rehetra manodidina nanoa azy ireny. [*Na: any] [**Eofrata]","Fa nanapaka ny tany rehetra atỳ an-dafin'ny Ony hatrany Tifsa ka hatrany Gaza izy, dia tamin'ny mpanjaka rehetra etỳ an-dafin'ny Ony; ary izy dia tsara fihavanana tamin'ireny rehetra manodidina nanoa azy ireny.<n>[Na: any]</n><n>[Eofrata]</n>"
mg_11,7,44,0.93,ary ny tavin-drano lehibe* iray sy ny sarin'omby roa ambin'ny folo teo ambaniny. [*Hebreo: ranomasina],ary ny tavin-drano lehibe iray sy ny sarin'omby roa ambin'ny folo teo ambaniny. <n>[Heb. ranomasina]</n>
mg_11,8,36,0.21,"dia mihainoa any an-danitra Ianao, ka mamelà ny fahotan'ny mpanomponao, dia ny Isiraely olonao satria atoronao azy ny lalana tsara izay tokony halehany, ary mandatsaha ranonorana amin'ny taninao, izay nomenao ho lovan'ny olonao.","dia mihainoa any an-danitra Hianao, ka mamelà ny fahotan'ny mpanomponao, dia ny Isiraely olonao satria atoronao azy ny lalana tsara izay tokony halehany, ary mandatsaha ranonorana amin'ny taninao, izay nomenao ho lovan'ny olonao."
mg_11,9,27,0.66,"Ary Hirama nampandeha ny vahoakany tamin'ny sambo, dia matilà izay nahay ranomasina, hiaraka amin'ny vahoakan'i Solomona.","Ary Hirama nampandeha ny vahoakany tamin'ny sambo, dia matilô izay nahay ranomasina, hiaraka amin'ny vahoakan'i Solomona.Ary nankany Ofira ireo, dia naka talenta volamena roa-polo amby efa-jato, ka nentiny tany amin'i Solomona mpanjaka izany."
mg_11,13,4,0.95,"Ary nony ren'i Jeroboama mpanjaka ny tenin'ny lehilahin'Andriamanitra izay niantso ny alitara tao Betela, dia naninjitra ny tanany niala tamin'ny alitara izy ka nanao hoe: Hazony ilehio. Dia maty* iny tanany nahinjiny nanondro azy iny ka tsy azony noketrahina intsony. [*Hebreo: maina]","Ary nony ren'i Jeroboama mpanjaka ny tenin'ny lehilahin'Andriamanitra izay niantso ny alitara tao Betela, dia naninjitra ny tànany niala tamin'ny alitara izy ka nanao hoe: Hazony ilehio. Dia maty iny tànany nahinjiny nanondro azy iny ka tsy azony noketrahina intsony. <n>[Heb. maina]</n>"
mg_11,13,33,0.76,"Rehefa afaka izany, Jeroboama dia tsy mbola niala tamin'ny lalan-dratsiny ihany, fa mbola naka tamin'ny ankabiazam-bahoaka ho mpisorona amin'ny fitoerana avo; koa na iza na iza tia izany dia natokany*, mba ho tonga mpisorona amin'ny fitoerana avo. [*Hebreo: nofenoiny ny tanany]","Rehefa afaka izany, Jeroboama dia tsy mbola niala tamin'ny lalan-dratsiny ihany, fa mbola naka tamin'ny ankabiazam-bahoaka ho mpisorona amin'ny fitoerana avo; koa na iza na iza tia izany dia natokany, mba ho tonga mpisorona amin'ny fitoerana avo. <n>[Heb. nofenoiny ny tànany]</n>Ary dia tonga fahotan'ny taranak'i Jeroboama izany ka namongorana sy nandringanana azy tsy ho eo ambonin'ny tany."
mg_11,18,32,0.94,"ary izany vato izany dia nataony alitara ho an'ny anaran'i Jehovah; ary nanao hady kely manodidina ny alitara koa izy, izay mifafy* voan-javatra indroan'ny famarana**. [*Na: mahalany] [**Hebreo: sea]","ary izany vato izany dia nataony alitara ho an'ny anaran'i Jehovah; ary nanao hady kely manodidina ny alitara koa izy, izay mifafy voan-javatra indroan'ny famarana. <n>[Na: mahalany]</n><n>[Heb. sea]</n>"
mg_11,18,36,0.89,"Ary nony tamin'ny fotoan'ny fanatitra hariva dia nanatona Elia mpaminany ka nanao hoe: Jehovah o. Andriamanitr'i Abrahama sy Isaka ary Isiraely, aoka ho fantatra anio fa Ianao no Andriamanitra amin'ny Isiraely, ary izaho no mpanomponao, ary araka ny teninao no efa nanaovako izao zavatra izao.","Ary nony tamin'ny fotoan'ny fanatitra hariva dia nanatona Elia mpaminany ka nanao hoe: Jehovah ô. Andriamanitr'i Abrahama sy Isaka ary Isiraely, aoka ho fantatra anio fa Hianao no Andriamanitra amin'ny Isiraely, ary izaho no mpanomponao, ary araka ny teninao no efa nanaovako izao zavatra izao."
mg_11,19,4,0.37,"Fa izy kosa nandeha lalana indray andro tany an'efitra, ary tonga ka nipetraka teo ambanin'ny anjavidy* anankiray; dia nangataka ho faty izy ka nanao hoe: Aoka izay! alao ny aiko ankehitriny, Jehovah o. fa tsy tsara noho ny razako aho. [*Hebreo: rotema; zava-maniry mifanahatahaka amin'ny kifafam-bohitra]","Fa izy kosa nandeha lalana indray andro tany an-efitra, ary tonga ka nipetraka teo ambanin'ny anjavidy anankiray; dia nangataka ho faty izy ka nanao hoe: Aoka izay! alao ny aiko ankehitriny, Jehovah ô. fa tsy tsara noho ny razako aho.<n>[Heb. rotema; zava-maniry mifanahatahaka amin'ny kifafam-bohitra]</n>"
mg_11,20,10,0.77,"ary izy naniraka tany aminy ka nanao hoe: Hataon'ireo andriamanitra amiko anie izany, eny, mihoatra noho izany aza, raha ho ampy eran-tanan'ila akory ny vovok'i Samaria amin'ny isan-olona manaraka ahy.","ary izy naniraka tany aminy ka nanao hoe: Hataon'ireo andriamanitra amiko anie izany, eny, mihoatra noho izany aza, raha ho ampy eran-tànan-ila akory ny vovok'i Samaria amin'ny isan-olona manaraka ahy."
mg_11,20,42,0.78,"Dia hoy izy taminy: Izao no lazain'i Jehovah: Satria nalefanao niala teo an-tananao ny lehilahy izay nasaiko hovonoina* tokoa, dia ny ainao no hisolo ny ainy, ary ny olonao no hisolo ny olony. [*Hebreo: nataoko herema]","Dia hoy izy taminy: Izao no lazain'i Jehovah: Satria nalefanao niala teo an-tananao ny lehilahy izay nasaiko hovonoina tokoa, dia ny ainao no hisolo ny ainy, ary ny olonao no hisolo ny olony.<n>[Heb. nataoko herema]</n>Ary ny mpanjakan'ny Isiraely nandeha ho any an-tranony sady nalahelo no sosotra, dia tonga tany Samaria."
mg_12,2,22,0.92,Ka dia tsara* ny rano mandraka androany araka ny teny nataon'i Elisa. [*Hebreo: sitrana],Ka dia tsara ny rano mandraka androany araka ny teny nataon'i Elisa.<n>[Heb. sitrana]</n>
mg_12,10,20,0.87,"Ary hoy Jeho: Manendre* fivoriana masina ho an'i Bala. Koa dia nanendry* andro izy. [*Hebreo: Manamasina, Hebreo: nanamasina]",Ary hoy Jeho: Manendre fivoriana masina ho an'i Bala. Koa dia nanendry andro izy.<n>[Heb. Manamasina]</n><n>[Heb. nanamasina]</n>
mg_12,12,21,0.53,"Ary nitsangana ny mpanompon'i Joasy ka niodina taminy, dia namono azy tao an-trano Milo*, ao am-pidinana mankany Sila. [*Hebreo: fiarovana]","Ary nitsangana ny mpanompon'i Joasy ka niodina taminy, dia namono azy tao an-trano Milo, ao am-pidinana mankany Sila.<n>[Heb. fiarovana]</n>Fa Jozakara, zanak'i Simata, sy Jozabada, zanak'i Somera mpanompony namely azy ho faty; dia nalevina tao amin'ny razany tao an-tanànan'i Davida izy; ary Amazia zanany no nanjaka nandimby azy."
mg_12,17,3,0.94,"Niakatra hanafika azy Salmanesera, mpanjakan'i Asyria, ka dia tonga mpanompony nandoa hetra* ho azy Hosea. [*Hebreo: fanomezana]","Niakatra hanafika azy Salmanesera, mpanjakan'i Asyria, ka dia tonga mpanompony nandoa hetra ho azy Hosea.<n>[Heb. fanomezana]</n>"
mg_12,18,27,0.95,"Fa hoy Rabsake taminy: Moa ho amin'ny tomponao sy ianao akory va no nanirahan'ny tompoko ahy hilaza izao teny izao, fa tsy ho amin'ny olona izay mipetraka eny ambonin'ny manda, hihinanany izay tsy fihinany* sy hisotroany izay tsy fisotrony** miaraka aminareo? [*Hebreo: ny tainy] [**Hebreo: ny amaniny]","Fa hoy Rabsake taminy: Moa ho amin'ny tomponao sy ianao akory va no nanirahan'ny tompoko ahy hilaza izao teny izao, fa tsy ho amin'ny olona izay mipetraka eny ambonin'ny manda, hihinanany izay tsy fihinany sy hisotroany izay tsy fisotrony miaraka aminareo? <n>[Heb. ny tainy]</n><n>[Heb. ny amaniny]</n>"
mg_12,19,24,0.92,"Izaho no nihady ka nisotro rano vao niseho*, ary ny faladiako no handritako ny ony mbamin'ny lahin-drano rehetra any Egypta**. [*Na: ranon'ny firenena hafa, Hebreo: Mazora]","Izaho no nihady ka nisotro rano vao niseho, ary ny faladiako no handritako ny ony mbamin'ny lahin-drano rehetra any Egypta. <n>[Na: ranon'ny firenena hafa]</n><n>[Heb. Mazora]</n>"
mg_12,20,18,0.94,Ary na dia ny terakao aza dia hisy ho entiny koa; ka ho tandonaka* any amin'ny lapan'ny mpanjakan'i Babylona ireo. [*Hebreo: ionoka],Ary na dia ny terakao aza dia hisy ho entiny koa; ka ho tandonaka any amin'ny lapan'ny mpanjakan'i Babylona ireo.<n>[Heb. ionoka]</n>
mg_12,24,12,0.91,"Ary Joiakina, mpanjakan'ny Joda, nivoaka nankany amin'ny mpanjakan'i Babylona, dia izy sy ny reniny ary ny mpanompony sy ny mpanapaka mbamin'ny tandapany*; [*Hebreo: ionoka] ary nentin'ny mpanjakan'i Babylona izy tamin'ny taona fahavalo nanjakany.","Ary Joiakina, mpanjakan'ny Joda, nivoaka nankany amin'ny mpanjakan'i Babylona, dia izy sy ny reniny ary ny mpanompony sy ny mpanapaka mbamin'ny tandapany;<n>[Heb. ionoka]</n> ary nentin'ny mpanjakan'i Babylona izy tamin'ny taona fahavalo nanjakany."
mg_13,3,17,0.95,"Ary ny zanakalahin'Jekonia dia Asira*, Sealtiela no zanak'i Asira, [*Na: Jekonia mpifatotra]","Ary ny zanakalahin'Jekonia dia Asira, Sealtiela no zanak'i Asira,<n>[Na: Jekonia mpifatotra]</n>"
mg_13,6,13,0.86,Ary ny zanakalahin'i Samoela dia Vasny lahimatoa sy Abia*. [*Na: (Jozla sy Abia faralahy) izahao I Tantara 6:18 sy I Samoela 8:2],Ary ny zanakalahin'i Samoela dia Vasny lahimatoa sy Abia.<n>[Na: (Jozla sy Abia faralahy); izahao and 18 sy 1 Sam. viii.2]</n>
mg_13,9,41,0.86,Ary ny zanakalahin'i Mika dia Pitona sy Maleka sy Tarea ary Ahaza*. [*Izahao I Tantara 8:35],Ary ny zanakalahin'i Mika dia Pitona sy Maleka sy Tarea ary Ahaza.<n>[Izahao viii. 35]</n>
mg_13,11,8,0.94,Ary nandrafitra ny manodidina ny tanàna hatrany Milo* izy; ary Joaba nampamboatra ny sisa tamin'ny tanàna. [*Hebreo: fiarovana],Ary nandrafitra ny manodidina ny tanàna hatrany Milo izy; ary Joaba nampamboatra ny sisa tamin'ny tanàna.<n>[Heb. fiarovana]</n>
mg_13,13,11,0.94,"Ary dia tezitra* Davida noho ny namelezan'i Jehovah an'i Oza, ka dia nataony hoe Perez-oza** no anaran'izany tany izany mandraka androany. [*Na: nalahelo] [**Perez-oza = Famelezana an'i Oza]","Ary dia tezitra Davida noho ny namelezan'i Jehovah an'i Oza, ka dia nataony hoe Perez-oza no anaran'izany tany izany mandraka androany.<n>[Na: nalahelo]</n><n>[Perez-oza = Famelezana an'i Oza]</n>"
mg_13,17,5,0.92,"fa tsy mbola nitoetra an-trano Aho hatramin'ny nitondrako ny Isiraely niakatra ka mandraka androany, fa nifindrafindra toby* sy nifindrafindra toerana**. [*Hebreo: lay] [**Hebreo: tabernakely]","fa tsy mbola nitoetra an-trano Aho hatramin'ny nitondrako ny Isiraely niakatra ka mandraka androany, fa nifindrafindra toby sy nifindrafindra toerana. <n>[Heb. lay]</n><n>[Heb. tabernakely]</n>"
mg_13,17,25,0.94,"Fa Ianao, Andriamanitro o, efa nanambara tamin'ny mpanomponao fa homenao taranaka izy*; koa Izany no nampahasahy ny mpanomponao hivavaka eto anatrehanao. [*Hebreo: hanao trano ho azy Ianao]","Fa Hianao, Andriamanitro ô, efa nanambara tamin'ny mpanomponao fa homenao taranaka izy; koa Izany no nampahasahy ny mpanomponao hivavaka eto anatrehanao.<n>[Heb. hanao trano ho azy Hianao]</n>"
mg_13,17,26,0.62,"Ary noho izany, Jehovah o, satria Ianao no Andriamanitra, ary Ianao efa nilaza izany zava-tsoa izany ny amin'ny mpanomponao,","Ary noho izany, Jehovah ô, satria Hianao no Andriamanitra, ary Hianao efa nilaza izany zava-tsoa izany ny amin'ny mpanomponao,dia ho sitrakao ny hitahy ny taranaky ny mpanomponao haharitra mandrakizay eo anatrehanao; fa izay tahinao, Jehovah ô, dia voatahy mandrakizay."
mg_13,21,29,0.71,Fa ny tabernakelin'i Jehovah izay nataon'i Mosesy tany an'efitra sy ny alitara fandoroana ny fanatitra dorana kosa dia teo amin'ny fitoerana avo tao Gibeona fahizay;,Fa ny tabernakelin'i Jehovah izay nataon'i Mosesy tany an-efitra sy ny alitara fandoroana ny fanatitra dorana kosa dia teo amin'ny fitoerana avo tao Gibeona fahizay;nefa Davida tsy nahazo nankeo anoloan'izany hanontany amin'Andriamanitra; fa raiki-tahotra izy noho ny sabatr'Ilay Anjelin'i Jehovah.
mg_13,26,18,0.86,"Tany Parbara* andrefana nisy efatra amin'ny lalana, ary roa tao Parbara. [*Izahao II Mpanjaka 23:11]","Tany Parbara andrefana nisy efatra amin'ny lalana, ary roa tao Parbara.<n>[Izahao 2 Mpan. xxiii. 11]</n>"
