livre,chapitre,verset,notre_texte,texte_github_concatene
mg_1,15,20,ary ny Hetita sy ny Perizita sy ny Refaita,ary ny Hetita sy ny Perizita sy ny Refaitaary ny Amorita sy ny Kananita sy ny Girgasita ary ny Jebosita.
mg_1,16,15,Ary Hagara dia niteraka zazalahy tamin'i Abrama; ary ny anaran'ny zanany izay naterany dia nataon'i Abrama hoe Isimaela.,"Ary Hagara dia niteraka zazalahy tamin'i Abrama; ary ny anaran'ny zanany izay naterany dia nataon'i Abrama hoe Isimaela.Ary efa enina amby valo-polo taona Abrama, raha Hagara niteraka an'Isimaela taminy."
mg_1,17,26,Androtrizay indrindra no namorana an'i Abrahama sy Isimaela zanany;,"Androtrizay indrindra no namorana an'i Abrahama sy Isimaela zanany;ary ny lehilahy rehetra tao an-tranony, dia ny ompikely mbamin'izay novidim-bola tamin'ny hafa firenena, dia samy niara-noforana taminy avokoa."
mg_1,19,37,"Dia niteraka zazalahy ny vavimatoa, ka ny anarany nataony hoe Moaba; izy no rain'ny Moabita mandraka androany.","Dia niteraka zazalahy ny vavimatoa, ka ny anarany nataony hoe Moaba; izy no rain'ny Moabita mandraka androany.Ary ny zandriny koa dia niteraka zazalahy ary ny anarany nataony hoe Benamy; izy kosa no rain'ny taranak'i Amona mandraka androany."
mg_1,20,17,Ary Abrahama dia nifona tamin'Andriamanitra; ary Andriamanitra nahasitrana an'i Abimeleka sy ny vadiny mbamin'ny mpanompovaviny; dia niteraka izy ireo.,"Ary Abrahama dia nifona tamin'Andriamanitra; ary Andriamanitra nahasitrana an'i Abimeleka sy ny vadiny mbamin'ny mpanompovaviny; dia niteraka izy ireo.Fa Jehovah efa nahamomba tokoa ny vehivavy rehetra tamin'ny ankohonan'i Abimeleka noho ny amin'i Saraha, vadin'i Abrahama."
mg_1,21,33,"Dia namboly hazo tamariska tany Beri-sheba Abrahama ka tao no niantsoany ny anaran'i Jehovah, dia Andriamanitra Mandrakizay.","Dia namboly hazo tamariska tany Beri-sheba Abrahama ka tao no niantsoany ny anaran'i Jehovah, dia Andriamanitra Mandrakizay.Ary Abrahama nivahiny elaela ihany tany amin'ny tanin'ny Filistina."
mg_1,22,23,"Ary Betoela niteraka an-dRebeka. Ireo valo ireo no naterak'i Milka tamin'i Nahora, rahalahin'i Abrahama.","Ary Betoela niteraka an-dRebeka. Ireo valo ireo no naterak'i Milka tamin'i Nahora, rahalahin'i Abrahama.Ary ny vaditsindranony, izay atao hoe Reoma, izy koa dia niteraka an'i Teba sy Gahama sy Tahasy ary Meaka."
mg_1,23,19,"Ary rehefa afaka izany, Abrahama dia nandevina an'i Saraha vadiny tao amin'ny zohy tao amin'ny saha Makpela tandrifin'i Mamre (Hebrona izany), ao amin'ny tany Kanana;","Ary rehefa afaka izany, Abrahama dia nandevina an'i Saraha vadiny tao amin'ny zohy tao amin'ny saha Makpela tandrifin'i Mamre (Hebrona izany), ao amin'ny tany Kanana;ka ny saha mbamin'ny zohy izay ao anatiny dia nataon'ny taranak'i Heta varo-maty tamin'i Abrahama ho tany fandevenana."
mg_1,24,66,Ary dia nambaran'ilay mpanompo tamin'Isaka ny zavatra rehetra izay efa nataony.,"Ary dia nambaran'ilay mpanompo tamin'Isaka ny zavatra rehetra izay efa nataony.Ary Isaka dia nampandroso an-dRebeka ho ao an-dain'i Saraha reniny ka nampakatra azy ho vadiny; ary tia azy izy, dia nionona ny alahelony an-dreniny."
mg_1,25,33,Ary hoy Jakoba: Mianiana ary amiko aloha. Dia nianiana taminy izy; ka dia namidiny tamin'i Jakoba ny fizokiany.,"Ary hoy Jakoba: Mianiana ary amiko aloha. Dia nianiana taminy izy; ka dia namidiny tamin'i Jakoba ny fizokiany.Ary Jakoba nanome an'i Esao mofo sy voanemba masaka; dia nihinana sy nisotro izy, ary niainga ka lasa nandeha. Izany no nanamavoan'i Esao ny fizokiany."
mg_1,26,34,"Ary rehefa efa-polo taona Esao, dia nampakatra an'i Jodita, zanakavavin'i Bery Hetita, sy Basemata, zanakavavin'i Elona Hetita, izy.","Ary rehefa efa-polo taona Esao, dia nampakatra an'i Jodita, zanakavavin'i Bery Hetita, sy Basemata, zanakavavin'i Elona Hetita, izy.Dia nangidy tamin'ny fanahin'Isaka sy Rebeka indrindra ireny."
mg_1,27,45,"eny, mandra-pahafaky ny fahatezeran'ny rahalahinao aminao, ka ho hadinony izay nataonao taminy; dia haniraka aho ka hampaka anao any; hataoko ahoana no famoy anareo mirahalahy indray andro?","eny, mandra-pahafaky ny fahatezeran'ny rahalahinao aminao, ka ho hadinony izay nataonao taminy; dia haniraka aho ka hampaka anao any; hataoko ahoana no famoy anareo mirahalahy indray andro?Ary hoy Rebeka tamin'Isaka: Tsy te-ho velona aho noho ireny zanakavavin'ny Hetita; raha maka vady amin'ny zanakavavin'ny Hetita Jakoba, tahaka ireto izay avy amin'ny zazavavy tompon-tany koa hataoko inona ny aiko ?"
mg_1,28,21,"ka ho tafaverina soa aman-tsara any amin'ny tranon'ny raiko aho, dia Jehovah no ho Andriamanitro,","ka ho tafaverina soa aman-tsara any amin'ny tranon'ny raiko aho, dia Jehovah no ho Andriamanitro,ary ity vato izay naoriko ho tsangam-bato ity ho tranon'Andriamanitra, ary izay rehetra homenao ahy, dia homeko Anao tokoa ny ampahafolony."
mg_1,29,34,"Dia nanan'anaka indray izy ka niteraka zazalahy; ary hoy izy: Ankehitriny izao dia hikambana amiko ny vadiko, fa efa niteraka zazalahy telo ho azy aho; izany no nanaovana ny anarany hoe Levy.","Dia nanan'anaka indray izy ka niteraka zazalahy; ary hoy izy: Ankehitriny izao dia hikambana amiko ny vadiko, fa efa niteraka zazalahy telo ho azy aho; izany no nanaovana ny anarany hoe Levy.Dia nanan'anaka indray izy ka niteraka zazalahy; ary hoy izy: Ankehitriny dia hidera an'i Jehovah aho; izany no nanaovany ny anarany hoe Joda; dia nitsaha-jaza izy."
mg_1,30,42,"Fa raha osaosa kosa ny ondry aman'osy, dia tsy mba napetrany teo ireny; ka dia ny osaosa no an'i Labana, fa ny matanjaka kosa no an'i Jakoba.","Fa raha osaosa kosa ny ondry aman'osy, dia tsy mba napetrany teo ireny; ka dia ny osaosa no an'i Labana, fa ny matanjaka kosa no an'i Jakoba.Dia nitombo harena indrindra ralehilahy ka nanana ondry aman'osy betsaka ary andevovavy sy andevolahy ary rameva sy boriky."
mg_1,31,53,"Ny andriamanitr'i Abrahama sy ny andriamanitr'i Nahora, dia ny andriamanitry ny rain'izy mirahalahy anie hitsara antsika. Fa Ilay natahoran'i Isaka rainy kosa no nianianan'i Jakoba.","Ny andriamanitr'i Abrahama sy ny andriamanitr'i Nahora, dia ny andriamanitry ny rain'izy mirahalahy anie hitsara antsika. Fa Ilay natahoran'i Isaka rainy kosa no nianianan'i Jakoba.Dia namono zavatra hatao fanatitra teo an-tendrombohitra Jakoba ka nanasa ny havany mba hihinan-kanina; dia nihinana izy ka nitoetra teo an-tendrombohitra nandritra ny alina,"
mg_1,32,32,"Dia niposaka taminy ny masoandro, raha niala teo Peniela izy, ary nitolitsika izy noho ny feny.","Dia niposaka taminy ny masoandro, raha niala teo Peniela izy, ary nitolitsika izy noho ny feny.Izany no tsy ihinanan'ny Zanak'Isiraely ny ozatry ny atodiakanga mandraka androany; satria nanendry ny foto-pen'i Jakoba teo amin'ny ozatry ny atodiakanga Izy."
mg_1,33,19,"Dia novidiny vola zato tamin'ny zanak'i Hamora, rain'i Sekema, ny tany izay nanorenany ny lainy.","Dia novidiny vola zato tamin'ny zanak'i Hamora, rain'i Sekema, ny tany izay nanorenany ny lainy.Ary nanorina alitara teo izy, ka nataony hoe El-elohe-Isiraely ny anarany."
mg_1,34,30,"Ary hoy Jakoba tamin'i Simeona sy Levy: Efa nahatonga loza amiko ianareo, fa efa nomaimboinareo eto amin'ny mponina amin'ny tany aho, dia amin'ny Kananita sy ny Perizita; nefa olom-bitsy aho, ka dia hiangona hamely ahy izy ireo ka hamono ahy; dia ho fongotra aho, dia izaho sy ny ankohonako.","Ary hoy Jakoba tamin'i Simeona sy Levy: Efa nahatonga loza amiko ianareo, fa efa nomaimboinareo eto amin'ny mponina amin'ny tany aho, dia amin'ny Kananita sy ny Perizita; nefa olom-bitsy aho, ka dia hiangona hamely ahy izy ireo ka hamono ahy; dia ho fongotra aho, dia izaho sy ny ankohonako.Fa hoy kosa izy: Moa ny anabavinay havela hataony toy ny vehivavy janga va?"
mg_1,35,28,Ary ny andro niainan'Isaka dia valo-polo amby zato taona.,"Ary ny andro niainan'Isaka dia valo-polo amby zato taona.Dia niala aina Isaka ka maty, ary voangona any amin'ny razany, rehefa tratrantitra sady ela niainana izy; ary dia nandevina azy Esao sy Jakoba zananilahy."
mg_1,36,42,sy Kenaza loham-pireneny sy Temana loham-pireneny sy Mibzara loham-pireneny,"sy Kenaza loham-pireneny sy Temana loham-pireneny sy Mibzara loham-pirenenysy Magdiela loham-pireneny ary Irama loham-pireneny. Ireo no loham-pirenena tamin'ny Edomita, araka ny fonenany, tany amin'ny taniny avy. Izany no Esao, rain'ny Edomita."
mg_1,38,29,"Ary rehefa nahemony ny tanany, dia, indro, teraka ny rahalahiny; ary hoy ny mpampivelona: Ahoana no nibosesehanao? dia nataony hoe Fareza no anarany.","Ary rehefa nahemony ny tànany, dia, indro, teraka ny rahalahiny; ary hoy ny mpampivelona: Ahoana no nibosesehanao? dia nataony hoe Fareza no anarany.Ary rehefa afaka izany, dia teraka koa ny rahalahiny, izay nisy ilay kofehy mena tamin'ny tànany; dia natao­ny hoe Zera no anarany."
mg_1,39,22,Dia natolotry ny mpitandrina ny trano-maizina ho andraikitr'i Josefa ny mpifatotra rehetra izay tao an-trano-maizina; ary izay rehetra nataony tao dia izy no antony.,"Dia natolotry ny mpitandrina ny trano-maizina ho andraikitr'i Josefa ny mpifatotra rehetra izay tao an-trano-maizina; ary izay rehetra nataony tao dia izy no antony.Ny mpitandrina ny trano-maizina tsy mba nikarakara na inona na inona izay efa mby an-tànany, satria Jehovah nomba an'i Josefa, ary izay nataony dia nambinin'i Jehovah."
mg_1,40,22,"fa ny lehiben'ny mpanao mofo kosa dia nahantony, araka izay efa nolazain'i Josefa tamin'izy roa lahy avy.","fa ny lehiben'ny mpanao mofo kosa dia nahantony, araka izay efa nolazain'i Josefa tamin'izy roa lahy avy.Kanjo tsy mba nahatsiaro an'i Josefa ilay lehiben'ny mpitondra kapoaka, fa nanadino azy."
mg_1,41,56,Ary ny mosary dia tany amin'ny tany rehetra. Ary Josefa namoha ny trano fitehirizam-bary ka nivaro-bary tamin'ny Egyptiana.,Ary ny mosary dia tany amin'ny tany rehetra. Ary Josefa namoha ny trano fitehirizam-bary ka nivaro-bary tamin'ny Egyptiana.Ary ny tany rehetra nankany Egypta ho any amin'i Josefa mba hividy vary; fa efa mafy ny mosary tany amin'ny tany rehetra.
mg_1,42,37,"Ary Robena niteny tamin'ny rainy ka nanao hoe: Vonoy ny zanako roa lahy, raha tsy entiko miverina aty aminao izy; atolory eto an-tanako izy, dia izaho no hitondra azy mody ho aty aminao indray.","Ary Robena niteny tamin'ny rainy ka nanao hoe: Vonoy ny zanako roa lahy, raha tsy entiko miverina atỳ aminao izy; atolory eto an-tanako izy, dia izaho no hitondra azy mody ho atỳ aminao indray.Ary hoy Jakoba: Tsy hidina hiaraka aminareo ny zanako; fa maty ny rahalahiny, ary izy irery ihany no sisa, ary raha hisy loza hanjo azy any amin'ny lalana izay halehanareo, dia hampidininareo any amin'ny fiainan-tsi-hita amin'alahelo ny volo fotsiko."
mg_1,43,33,"Dia nipetraka teo anatrehany izy, ny lahimatoa araka ny fizokiany, ary ny faralahy araka ny fizandriany; dia samy talanjona ka nifampijerijery izy.","Dia nipetraka teo anatrehany izy, ny lahimatoa araka ny fizokiany, ary ny faralahy araka ny fizandriany; dia samy talanjona ka nifampijerijery izy.Ary samy nitondrana anjara-hanina avy teo anoloan'i Josefa izy mirahalahy avy; kanefa ny anjara-hanin'i Benjamina dia indimy toraka ny anjaran-drery tamin'izy rehetra. Dia niara-nisotro sy nivoky divay teo aminy izy."
mg_1,44,33,"Koa ankehitriny, trarantitra ianao, aoka ny mpanomponao hitoetra ho andevon'itompokolahy hisolo ny zaza; fa aoka ny zaza hiara-miakatra amin'ny rahalahiny.","Koa ankehitriny, trarantitra ianao, aoka ny mpanomponao hitoetra ho andevon'itompokolahy hisolo ny zaza; fa aoka ny zaza hiara-miakatra amin'ny rahalahiny.Fa hataoko ahoana no fiakatra any amin'ny raiko, raha tsy hiaraka amiko ny zaza? fandrao hahita izay loza hanjo ny raiko aho."
mg_1,45,27,"Dia nolazain'izy ireo ny teny rehetra izay efa nolazain'i Josefa taminy: ary rehefa hitany ny sariety izay efa nampitondrain'i Josefa hitondrana azy, dia izay vao velona indray ny fanahin'i Jakoba rainy","Dia nolazain'izy ireo ny teny rehetra izay efa nolazain'i Josefa taminy: ary rehefa hitany ny sariety izay efa nampitondrain'i Josefa hitondrana azy, dia izay vao velona indray ny fanahin'i Jakoba rainyAry hoy Isiraely: Aoka ary, fa mbola velona ihany Josefa zanako; handeha aho ka hahita azy, dieny tsy mbola maty aho."
mg_1,46,33,Ary raha hiantso anareo Farao ka hanao hoe : Inona no raharaha fanaonareo?,"Ary raha hiantso anareo Farao ka hanao hoe : Inona no raharaha fanaonareo?dia izao no havalinareo: Miompy omby aman'ondry no raharaha fanaon'ny mpanomponao, hatry ny fony vao zaza ka ambaraka ankehitriny, dia izahay sy ny razanay koa mba hahazoanareo monina ao amin'ny tany Gosena, satria fahavetavetana amin'ny Egyptiana ny mpiandry ondry rehetra."
mg_1,47,30,"Fa rehefa lasa mody mandry any amin'ny razako aho, dia ho entinao hiala aty Egypta ka halevinao ao amin'ny fasany. Dia hoy Josefa: Hanao araka ny teninao aho.","Fa rehefa lasa mody mandry any amin'ny razako aho, dia ho entinao hiala atỳ Egypta ka halevinao ao amin'ny fasany. Dia hoy Josefa: Hanao araka ny teninao aho.Ary hoy Jakoba: Mianiana ary amiko. Dia nianiana taminy izy. Dia niankohoka teo an-dohan'ny farafara Isiraely."
mg_1,48,21,"Ary hoy Isiraely tamin'i Josefa: Indro, ho faty aho, nefa Andriamanitra homba anareo ka hampody anareo indray ho any amin'ny tanindrazanareo.","Ary hoy Isiraely tamin'i Josefa: Indro, ho faty aho, nefa Andriamanitra homba anareo ka hampody anareo indray ho any amin'ny tanindrazanareo.Ary izaho manome anao zara-tany iray ho tombon-dahinao amin'ny rahalahinao, izay nalaiko tamin'ny sabatro sy ny tsipikako teo an-tànan'ny Amorita."
mg_1,49,32,ny saha sy ny zohy ao anatiny izay novidiny tamin'ny taranak'i Heta.,"ny saha sy ny zohy ao anatiny izay novidiny tamin'ny taranak'i Heta.<n>[Ny nahafatesan'i Jakoba sy ny nandevenana azy, ary ny nahafatesan'i Josefa]</n> Ary rehefa vitan'i Jakoba ny hafatra nataony tamin'ny zananilahy rehetra, dia navonkiny teo am-parafara ny tongony, dia niala aina izy ka voangona any amin'ny razany."
mg_1,50,25,"Ary Josefa dia nampianiana ny zanak'Isiraely ka nanao hoe: Hamangy anareo tokoa Andriamanitra, dia hitondra ny taolako hiala eto ianareo.","Ary Josefa dia nampianiana ny zanak'Isiraely ka nanao hoe: Hamangy anareo tokoa Andriamanitra, dia hitondra ny taolako hiala eto ianareo.Dia maty Josefa, rehefa folo amby zato taona; ary dia nohosorany zava-manitra izy ka napetrany tao anatin'ny vata tany Egypta."
mg_10,1,26,"Ory noho ny aminao aho, ry Jonatana rahalahiko; nahafinaritra ahy indrindra ianao; nahagaga ny fitiavanao ahy mihoatra noho ny fitiavan'ny vehivavy.","Ory noho ny aminao aho, ry Jonatana rahalahiko; nahafinaritra ahy indrindra ianao; nahagaga ny fitiavanao ahy mihoatra noho ny fitiavan'ny vehivavy.Endrey! lavo ny mahery, ary levona ny fiadiana!"
mg_10,2,31,Fa ny mpanompon'i Davida efa nahafaty enim-polo sy telon-jato lahy tamin'ny Benjamita sy ny olon'i Abnera.,"Fa ny mpanompon'i Davida efa nahafaty enim-polo sy telon-jato lahy tamin'ny Benjamita sy ny olon'i Abnera.Ary Asahela dia nentiny ka naleviny tao amin'ny fasan-drainy, izay tao Betlehema. Ary Joaba sy ny olony nandeha mandritra ny alina, dia tonga tao Hebrona raha vao nazava ratsy ny andro."
mg_10,3,38,Ary hoy ny mpanjaka tamin'ny mpanompony: Tsy fantatrareo va fa komandy sady lehilahy malaza no maty androany tamin'ny Isiraely?,"Ary hoy ny mpanjaka tamin'ny mpanompony: Tsy fantatrareo va fa komandy sady lehilahy malaza no maty androany tamin'ny Isiraely?Ary tsy mbola manan-kery loatra aho izao, na dia mpanjaka efa voahosotra aza; ary ireo zanak'i Zeroia ireo dia mahery sata loatra amiko; Jehovah anie hamaly izay nanao izao ratsy izao araka ny ratsy nataony."
mg_10,4,11,"koa mainka raha misy olon-dratsy mamono lehilahy marina ao an-tranony eo am-pandriany; koa tsy hadiniko eo an-tananareo va ny ràny, ary tsy hofongorako tsy ho amin'ny tany intsony va ianareo","koa mainka raha misy olon-dratsy mamono lehilahy marina ao an-tranony eo am-pandriany; koa tsy hadiniko eo an-tananareo va ny ràny, ary tsy hofongorako tsy ho amin'ny tany intsony va ianareoAry Davida nandidy ny zatovony, dia namono azy ireo, ka notapahiny ny tanany sy ny tongony, dia nahantony teo anilan'ny kamory tao Hebrona. Fa ny lohan'Isboseta kosa dia nentina ka nalevina tao am-pasan'i Abnera tao Hebrona."
mg_10,5,24,"Ary raha toa mahare fingadongadon'olona eny amin'ny tendron'ny hazo balsama ianao, dia faingàna; fa amin'izay no efa miainga mialoha anao Jehovah hamely ny miaramilan'ny Filistina.","Ary raha toa mahare fingadongadon'olona eny amin'ny tendron'ny hazo balsama ianao, dia faingàna; fa amin'izay no efa miainga mialoha anao Jehovah hamely ny miaramilan'ny Filistina.Ary dia nanao araka ny nandidian'i Jehovah azy Davida ka dia namely ny Filistina hatrany Geba ka hatrao akaikin'i Gazera izy."
mg_10,6,22,"Ary mbola hivazina kokoa noho izany aza aho, ka hataoko tsinontsinona ny tenako; nefa hiaraka hanam-boninahitra amin'ireo tovovavy nantsoinao ireo kosa aho.","Ary mbola hivazina kokoa noho izany aza aho, ka hataoko tsinontsinona ny tenako; nefa hiaraka hanam-boninahitra amin'ireo tovovavy nantsoinao ireo kosa aho.Ka dia tsy nanan-janaka intsony mandra-pahafatiny Mikala, zanakavavin'i Saoly."
mg_10,8,17,"ary Zadoka, zanak'i Ahitoba, sy Ahimeleka, zanak'i Abiatara, no mpisorona; ary Seraia no mpanoratra;","ary Zadoka, zanak'i Ahitoba, sy Ahimeleka, zanak'i Abiatara, no mpisorona; ary Seraia no mpanoratra;ary Benaia, zanak'i Joiada, no mpifehy ny mpiambina andriana; ary ny zanak'i Davida no mpanolo-tsaina. <n>[Heb. Kerenita sy Peletita]</n><n>[Na: mpisorona]</n>"
mg_10,9,12,"Ary Mefiboseta nanan-janakalahy tanora, Mika no anarany. Ary izay rehetra nitoetra tao an-tranon'i Ziba dia mpanompon'i Mefiboseta avokoa.","Ary Mefiboseta nanan-janakalahy tanora, Mika no anarany. Ary izay rehetra nitoetra tao an-tranon'i Ziba dia mpanompon'i Mefiboseta avokoa.Ary Mefiboseta nonina tany Jerosalema; fa teo amin'ny latabatry ny mpanjaka no nihinanany mandrakariva; ary nalemy ny tongony roa."
mg_10,10,18,"Ary vaky nandositra teo anoloan'ny Isiraely ny Syriana, ka nahafaty ny tao an-kalesy fiton-jato sy ny an-tsoavaly efatra alina tamin'ny Syriana Davida sady namely an'i Sobaka koa, ilay komandin'ny miaramila, ka nahafaty azy teo.","Ary vaky nandositra teo anoloan'ny Isiraely ny Syriana, ka nahafaty ny tao an-kalesy fiton-jato sy ny an-tsoavaly efatra alina tamin'ny Syriana Davida sady namely an'i Sobaka koa, ilay komandin'ny miaramila, ka nahafaty azy teo.Ary nony hitan'ny mpanjaka rehetra izay nanoa an'i Hadadezera fa resy teo anoloan'ny Isiraely izy, dia nanao fihavanana tamin'ny Isiraely izy ireo ka nanompo azy. Dia natahotra ny Syriana, ka tsy nety namonjy ny taranak'i Amona intsony."
mg_10,11,26,"Ary nony ren'ny vadin'i Oria fa maty ny lahy, dia nisaona azy izy.","Ary nony ren'ny vadin'i Oria fa maty ny lahy, dia nisaona azy izy.Ary rehefa afa-tsaona izy, dia nampanalain'i Davida ho any an-tranony, ary dia novadiny izy ka niteraka zazalahy taminy. Nefa tsy sitrak'i Jehovah izany nataon'i Davida izany."
mg_10,13,38,Ary Absaloma efa nandositra nankany Gesora ka nitoetra tany telo taona.,"Ary Absaloma efa nandositra nankany Gesora ka nitoetra tany telo taona.Ary Davida mpanjaka naniry hivoaka hankany amin'i Absaloma; fa nionona izy noho ny amin'i Amnona, satria efa maty izy.<n>[Na: Koa izany no nisakana an'i Davida mpanjaka tsy hivoaka hamely an'i Absaloma]</n>"
